Author,Comment,Video ID
@Redengel-n5o,Warum sowas live sehen wenn eh schon fest steht wer gewinnt ? Alleine der Sound der motoren klingt wie ein Bobycart mit rasenmäher motor echt gruselig war damals besser,QqD9X_p_L5E
@DieRuebeLP,"Absolut verdient, Glückwunsch Max verstappen 🎉",QqD9X_p_L5E
@shifty2094,"Soll sich über seinen letzten Titel freuen, das wird sich nicht so schnell wiederholen ;)",QqD9X_p_L5E
@FonDeBlotz1,Ich wünsche mir F1 bei RTL zurück!,QqD9X_p_L5E
@EliasPfaiffer,Max = GOAT,QqD9X_p_L5E
@DjNicki24,Ein tolles Rennen,QqD9X_p_L5E
@kanizkomas,Verdienter Weltmeister!,QqD9X_p_L5E
@freystil_,Oops!…He did it again.,QqD9X_p_L5E
@Eierkopp_247,"GG an Verstappen, mit der Kloschüsel ne WM zu gewinnen kann nicht jeder (siehe checo)",QqD9X_p_L5E
@enricohaack4875,Hallo commentator ich bin mir sicher der mechaniker von albon hatt gesagt das sie einem turbo problem haben und nicht temperatur?,QqD9X_p_L5E
@mr_sanchez,"Sainz hatte den richtigen Call gemacht. 
Undercut von Hamilton abwehren.
Hätte gut klappen können.
Aber Ferrari ist weder bereit noch willens ihm zu helfen.
Da opfert man ihn lieber für Leclerc, der am Ende dennoch hinter ihm landet. Selber Schuld, sollten am Ende doch 3 Punkte fehlen.",QqD9X_p_L5E
@peterkowalczyk872,"Hulk mit Schrottkarte aus eigener Kraft 8 Platz.

Gibt dem jungen endlich einen richtigen wagen! Wie kann man mit so einem schrottauto überhaupt Punkte holen.",QqD9X_p_L5E
@pasiwade,Yes Max! ❤,QqD9X_p_L5E
@nullkommanixgegennix,"RB sollte endlich die Konsequenzen ziehen, Horner und Perez entlassen für die Katastrophe die beide fabriziert haben. Horner hat nicht nur das Team zerstört sondern auch gegen aller Vorzeichen, Perez einen teuren Vertrag gegeben, der RB noch teuer zu stehen kommen könnte! Ohne Verstappen wäre  RB  vielleicht auf Augenhöhe mit RB 2.. Auch die verloren gegangenen Prämien für die Team WM müsste Horner trotzdem aus eigener Tasche bezahlen, sowie dann den teuren Ausstieg von Perez. Außer Perez zeigt Größe und Charakter und verlässt freiwillig das Team. Da würde wenigstens sein Ansehen etwas steigen wieder.
Glückwunsch an Mercedes und Ferrari..
Auf jeden Fall, Glückwunsch an Max.. Ein echter Champion! 🏆🏅🥇🎊🧨🎉✨🎆🎇",QqD9X_p_L5E
@tim777k5,Wenn man sich das Radio anhört denkt man eher das Russell gerade Weltmeister wurde,QqD9X_p_L5E
@seniordingdong4214,angeschlogn? echt,QqD9X_p_L5E
@ICEMANZIDANE,Hamilton hätte ja locker gewonnen wenn er den Fehler im Q nicht hätte.,QqD9X_p_L5E
@AlphaCitaro,Hamilton hätte bei Mercedes bleiben sollen. Die kommen in den nächsten Jahren wieder hoch,QqD9X_p_L5E
@michaeld.uchiha9084,"Warum schauen manche Leute überhaupt.
Keine Ahnung von Motorsport oder F1 und immer sagen, Boah wie langweilig.
🤦‍♂️",QqD9X_p_L5E
@sunsurfer.1042,Russel gegen leclerc so ein geiler Kapmf gewesen am Anfang,QqD9X_p_L5E
@kington2311,Hammerstark von Hamilton,QqD9X_p_L5E
@guidotrodchke5241,Glückwunsch,QqD9X_p_L5E
@Joe-961,MV33 🏆🏆🏆🏆👌,QqD9X_p_L5E
@zuzabogdal617,Warum lässt man einen verstapen Weltmeister werden,QqD9X_p_L5E
@thomashotz76,So wie LAW den MAG in die Wand drängt gab es bestimmt eine sehr hohe Strafe?,QqD9X_p_L5E
@DerPitbull12,Gut das ich gepennt habe und mir nicht sowas langweiliges Rennen angeguckt habe 😂,QqD9X_p_L5E
@henryreinhard6714,Unsympathischtister Fahrer: Verstappen!😤,QqD9X_p_L5E
@drmedanina,"Weiß ich ja nicht, wo man bei dem Rennen 20 Minuten an Highloghts zusammenkratzt",QqD9X_p_L5E
@zuzabogdal617,Verstapen ☝🏻☝🏻☝🏻☝🏻☝🏻dein letzter titel 👍🏻👍🏻👍🏻👍🏻👍🏻,QqD9X_p_L5E
@CCAA666-zo4zi,"Schade das, das größte Schwein das jemals F1 gefahren ist wieder WM ist",QqD9X_p_L5E
@benjaminseikat7105,Live auf RTL Formel 1 geguckt. Max verstappen weltmeister vielmehr hat man nicht verpasst,QqD9X_p_L5E
@christosk4417,Spoilerschutz!!!,QqD9X_p_L5E
@sportsjame,"Hätte nach den Trainings und der Quali echt nicht gedacht, dass dieses Rennen ohne Unfälle über die Bühne geht!",QqD9X_p_L5E
@thomasbauer3889,"Wenn Russel sich am Funk mehr über den Sieg freut, als Verstappen über den WM Titel 😮",QqD9X_p_L5E
@bastlerklaus1573,"Glückwunsch an Verstappen zum 4. Titel, ganz stark 💪🏻👍🏻",QqD9X_p_L5E
@Chris.93,Wenn das so weitergeht wird Max verstappen den Rekord von Schumacher einstellen auf jeden Fall Herzlichen Glückwunsch zur vierten weltmeisterschaft,QqD9X_p_L5E
@atomaticom1821,8:46 Volle Konzentrolle,QqD9X_p_L5E
@Thomas-f6l,Spoiler Schutz,QqD9X_p_L5E
@MultimediaCizzy,JuSt LuCk,QqD9X_p_L5E
@drmedanina,Also PierreGaslyfan tut mir schon leid nach dem Quali- Ergebnis😂,QqD9X_p_L5E
@officialkirin7219,"Verstappen hatte 2/3 des Jahres nen Traktor als Auto aber hats trotzdem geschafft den Vorsprung übers Ziel zu bringen.
Echt stark.",QqD9X_p_L5E
@Ichgrüßeeuchhallo,🦁,QqD9X_p_L5E
@RoniFtuh,The real winner is Hamilton,QqD9X_p_L5E
@josverstappen9885,Gibt es eigentlich Pläne den Kommentator zu ersetzen oder bleibt das jetzt immer so :/,QqD9X_p_L5E
@Bubchen81,🏆😃👍 Max ist jetzt 4️⃣-facher Weltmeister. Perez war dieses Wochenende auch stark wie immer für die Team-WM,QqD9X_p_L5E
@tk7320,Max herzlichen Glückwunsch. Was für ein Jahr. Das Biest schlägt wieder zu.,QqD9X_p_L5E
@MariusDeines,Hulkenberg ist einfach ein mega Fahrer !,QqD9X_p_L5E
@joni__531,das war ja mal wieder so langweilig...,QqD9X_p_L5E
@aletschhorn909,Der Scheiß Hamilton kann doch jetzt mal in Rente gehen. Unsympathischster Vogel überhaupt.,QqD9X_p_L5E
@RiboxxnHighnen,Lassen wir den Move von Sainz an der Box stehen?😂,QqD9X_p_L5E
@munichFlo,Spoilerschutz,QqD9X_p_L5E
@Truehouseable,8:43  Tolles neues Wort.    Konzentrolle!!     Danke dafür.  ;),QqD9X_p_L5E
@Nico20_10,Volle Konzentrolle✨,QqD9X_p_L5E
@marcelk3847,Ai ai ai was macht er denn,QqD9X_p_L5E
@3xoticG4m3r,"Ich finds einfach so unsympathisch wie Lewis sich aufregt. Haben das beste Auto dieses Wochenende, er versagt komplett in Q3, bekommt eine super Strategie und regt sich dann noch im Radio auf. Schließlich sitzt er schmollend im Rolls Royce obwohl er P2 (!) wurde. Den Typ werd ich nie abkönnen.",QqD9X_p_L5E
@max2705a,Wenn Russel konstant diese Leistung abliefern wird hat er in der nächsten Saison gute Chancen auf den Titel.,QqD9X_p_L5E
@sugomi6641,Verstappen ist so der Typ der nach der Klausur heult es wird eine 5 oder 6 und der hat am Ende wieder eine 1 (im Bezug auf seine Beschwerden über das Auto und wie schlecht es wäre),QqD9X_p_L5E
@RealCharlemagne0809,"Schlaftablette. Aber Glückwunsch an Max, verdienter Titel. Nächste Saison hoffentlich von Beginn an gleich starke Teams, dann wird es noch spannender",QqD9X_p_L5E
@bentniklas9571,Superschutz! Hält 500 Schritte wilde Kommentare ab,QqD9X_p_L5E
@DC_morten,"es hat mal so Spaß gemacht F1 zu gucken, seit 10 Jahren geht es immer weiter Berg ab....
Schade so eine Entwicklung hinnehmen zu müssen
Der Kommerz zerstört jeden Sport Jahr für Jahr immer weiter",QqD9X_p_L5E
@secondprivatecollection3922,"Glückwunsch Verstappen

und mal sehen wer Teamwertung gewinnt Mc  laren oder fearri wird knapp",QqD9X_p_L5E
@tobysexperiments9145,Spoilerschutz,QqD9X_p_L5E
@Axl93Charos,Spoilerschutz!,QqD9X_p_L5E
@HRV-Maurice,Schade. Hätte es Lando mehr gegönnt. Aber trotzdem Glückwunsch Max,QqD9X_p_L5E
@CobraFerrariFth,Das größte Highlight wäre eine Kollision zwischen Perez und Tsunoda in der letzten Runde gewesen,QqD9X_p_L5E
@tobiasmüller-e4z,hat sich so lange angefühlt daruf zu warten,QqD9X_p_L5E
@enisujupi5677,Geiles Rennen,QqD9X_p_L5E
@Kilian1953,Glückwunsch Max! 🎉🎉,QqD9X_p_L5E
@SkySportFormel1,"🏎 Stream alles an Formel 1, was Sky Sport zu bieten hat – wann und wo Du willst – mit WOW. ➡ https://zly.de/sky/WOW-F1?yt=c",QqD9X_p_L5E
@Manuel15346,Moin,QqD9X_p_L5E
